,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_6_Sedation,0.3656139372763353,0.2816808361549739,0.3567558045065621,0.3581280259901131,0.3060163062635505,0.3980034492153837,0.38714910909675776,0.33150197696421924
Sub_6_Unconscious,1.0016631835861616,0.9399026456318964,0.9963028789334153,0.8709466931281702,0.9440210450440526,0.8994011443516211,0.9760295312582095,0.8779218348522602
Sub_6_Recovery,0.7504157569308463,0.9678998429091277,0.9223978110000723,0.9064411049582997,0.8728702446866754,0.840152141361785,0.7624771934317589,0.9203107797999271
Sub_7_Awake,0.8125744028805615,0.7042707392236253,0.810382618181299,0.7220539861334098,0.7553610916089634,0.7409638477042697,0.841143847839043,0.8279980183208415
Sub_7_Sedation,0.480338028860311,0.47119629527010376,0.409995654496754,0.43705219713871724,0.4091171396448588,0.39110668332100323,0.4026353858485893,0.42415593275903085
Sub_7_Unconscious,0.659807036274824,0.6267123934192905,0.7355114385635493,0.7511931932244854,0.713602263565692,0.7042370735777638,0.6485891379425597,0.7420447492380517
Sub_7_Recovery,0.9162467104530887,0.9178150893525825,1.0271858131469074,0.9433938927779376,0.930469007471695,0.9686562075483737,1.0700709147466683,0.9481055561391727
Sub_8_Awake,0.7616301125915822,0.5981335385941066,0.5578041595717814,0.7058620693096356,0.6209683502588181,0.5347185016448621,0.6590256476427941,0.6629650031993191
Sub_8_Sedation,0.6549749736809453,0.7272653800200036,0.637178504583174,0.5564413493566635,0.604432106280027,0.635975620521749,0.44226223108440105,0.6150736576273262
Sub_8_Unconscious,0.4483750931040921,0.5877549232281355,0.45998336815507745,0.4791453574223146,0.4136413863528448,0.4046698733382848,0.4087666143991428,0.43450303096530496
Sub_8_Recovery,0.6303395003458705,0.5782832701716182,0.7723924937377404,0.5772639864855909,0.6332703819049115,0.6515002341462324,0.6710859182306497,0.6695868162894938
Sub_9_Awake,0.678589542044247,0.7640788614736781,0.7118528119942524,0.6379724394622621,0.6845501927835853,0.7101358483052669,0.5699872092168257,0.7336258960086681
Sub_9_Sedation,0.7257584760344173,0.7199218958471625,0.658350555829708,0.7243954541244888,0.6693076146682564,0.6928543337576338,0.6372729977467394,0.7042107229766571
Sub_9_Unconscious,0.5992674525219848,0.5783289740261894,0.5343706946979552,0.610774292392103,0.5707456906412182,0.5388628136045328,0.6011265741442801,0.5851321541455539
Sub_9_Recovery,0.8125024968465505,0.7956460005270514,0.97650104820575,1.1200565862220553,0.8731744476605241,0.9590935772822948,0.7861743649792401,0.9286104703191457
Sub_10_Awake,0.7366845178303916,0.9166605038201366,0.7255255408069625,0.7711784108052371,0.7985869854330336,0.7948855237077095,0.6249087974341159,0.7956152949159115
Sub_10_Sedation,0.7452484964084093,0.7456286011974396,0.8295809189407221,0.8224865127760854,0.7206877034079848,0.7835293307321143,0.7322814585068981,0.7903913072076263
Sub_10_Unconscious,0.4805174227372079,0.6757524053533265,0.6043893312774611,0.6601030360260838,0.6269202273635808,0.5988044206559604,0.6485065199016498,0.6189859398299735
Sub_10_Recovery,0.7534668663990446,0.9074851090367101,0.8015511886152377,1.0232343917188005,0.7731991742396884,0.8011797145809358,0.672858847990556,0.836611294581813
Sub_11_Awake,0.4789354368410385,0.589164383735661,0.5761431258639185,0.5848960442679245,0.5069559486799923,0.5273686017656882,0.5860819246801741,0.5373562068676268
Sub_11_Sedation,0.489380591618206,0.41259603151343677,0.38870196659869505,0.39731974046140917,0.44169759268485065,0.4230464169744848,0.49216161837364736,0.36925763130257916
Sub_11_Unconscious,0.4471901482588869,0.34619493786225325,0.29634655125022596,0.30439610356534313,0.3438093910341788,0.32185614982590127,0.3612034014000116,0.3108176072870935
Sub_11_Recovery,0.6711798805892076,0.7538628165233687,0.5815011603200209,0.8705124810924625,0.6411366583269442,0.6272932611832334,0.5193761502580855,0.6615435623653433
Sub_12_Awake,0.8361302775723498,0.7691685641607473,0.7648739566334888,0.7456558755799574,0.8066141110247147,0.7935096132549105,0.8340256163006119,0.8244855472343049
Sub_12_Sedation,0.5564769826888074,0.5880664384156296,0.5366485712006377,0.5893320686832093,0.5644585331494594,0.6117856091068751,0.5943227860053595,0.5630975185908913
Sub_12_Unconscious,0.4733387060684974,0.5066247447849159,0.4561671637503742,0.5223836772260129,0.5277100657639497,0.5126106101040125,0.48063955658423635,0.4702871265864893
Sub_12_Recovery,0.5380225104338722,0.47447143585509705,0.5771060839840234,0.50711147442131,0.5446689141116593,0.553954217564568,0.6788400161315365,0.5492040495520464
Sub_13_Awake,0.5663278281695728,0.6837073826043523,0.4090251924617455,0.3179207177047438,0.36683647049051,0.33179839059832494,0.4014096975087682,0.3990620097838602
Sub_13_Sedation,0.5466574174823343,0.6297499120756871,0.5508940065154289,0.5813629821943427,0.5919028409955938,0.5205563673041211,0.6108960517743386,0.5035022626554925
Sub_13_Unconscious,0.6024091349927934,0.5418219639924002,0.6143457197672068,0.5003241444983864,0.6106497767852106,0.6205749171364381,0.6222856531576094,0.5515934995490254
Sub_13_Recovery,0.6613033206210067,0.8467628079661699,0.6864013549211261,0.7151713358704452,0.6587921769494638,0.6396242506289894,0.6589504340749538,0.7339659649308679
Sub_14_Awake,0.8589091501202001,0.7115992702143698,0.8145588238940787,0.8057420762198382,0.8337986660502761,0.7662694762859191,0.7997305464088615,0.865325126828755
Sub_14_Sedation,0.5821399606137729,0.5651400125917477,0.5528069514918632,0.568014123048172,0.5343316508020121,0.5645641945982318,0.5647211222124684,0.5697998268349734
Sub_14_Unconscious,0.6784409829711164,0.7017647399619965,0.5843066859631338,0.6976909339735373,0.6196351726849467,0.6554146094559185,0.6627449556196734,0.6352409068559518
Sub_14_Recovery,0.6995939686898551,0.7113038067303659,0.5958957323943046,0.8241773321288608,0.692992536973098,0.6152370031011908,0.6602057397796247,0.7181117071781848
Sub_15_Awake,0.6833378223983985,0.678222940753292,0.696580357897662,0.8220775510022825,0.7127482409456751,0.7153260291834641,0.6705241989866384,0.7596115558382968
Sub_15_Sedation,0.7753448100215777,0.6471177458403347,0.6353268580568907,0.7043101740341426,0.6886457697348235,0.6431085572529098,0.7415252610413766,0.6510299520693338
Sub_15_Unconscious,0.9201809925353753,0.6158813571342696,0.7144197575889308,0.6147583876858828,0.6889235297710369,0.674736995223572,0.7445451796733428,0.7434305927891041
Sub_15_Recovery,0.780300249766638,0.624055899195204,0.9146812619475172,0.9504609880913975,0.8169800035979703,0.9481362988193258,0.8923300698344603,0.8761490131608068
Sub_16_Awake,0.797423257206815,0.7423277360250511,0.849057322695652,0.8837336784580092,0.8119359617166116,0.8138485934481661,0.8553927262279448,0.8362903434763181
Sub_16_Sedation,0.6256397982739619,0.6365496122715295,0.5842635818516322,0.6262888546937904,0.6871811027963493,0.6516714048021044,0.6783302674416477,0.6520156699454605
Sub_16_Unconscious,0.6290745794023695,0.5332380358552512,0.6712618992548697,0.6236120620188301,0.5687894917432736,0.6555818167673237,0.6187145003904062,0.5923520971206251
Sub_16_Recovery,0.7924479160683537,0.729699630587205,0.8268437718650926,0.8548845046432522,0.818974777371786,0.85014768718035,0.7221030274907572,0.8825242197255634
