subject,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_20_MOD,0.9222395211270147,0.8331301169343043,0.9293700218321099,0.8576446796033352,0.8281269552573012,0.8703413259877786,0.8103402176852657,0.8102184793697231
Sub_20_PLB,0.8289590587421991,1.1103253130549404,0.8069210762581557,0.8879343023535764,0.7798575068742032,0.9243673151906011,0.9157463076736272,0.8016297620562132
Sub_21_MOD,0.7395474743636126,0.6802916492886356,0.7840874673009312,0.7451249043824817,0.6922961272625566,0.7816216101750705,0.7765578567695887,0.7634601382487161
Sub_21_PLB,0.9280442674434631,0.7986661780707578,0.9366121114267031,0.9159810042034818,1.031511032424151,0.9608615544415791,1.1837768844662249,0.9075900646617431
Sub_22_MOD,0.8501097222881757,0.8121136261406707,0.8451146843582998,0.8191626444833877,0.7786082201596912,0.8467392750040308,1.010487878684855,0.7975943938301036
Sub_22_PLB,0.9204990630768368,0.8973453767466897,0.721812178590725,0.7724762720272451,0.7668755628489298,0.7477943666918735,0.7281067088014394,0.8154301479522379
Sub_23_MOD,0.9232523886194949,0.9454842033082496,0.8726436459648033,0.8361055849962675,0.814120134388847,0.987476595938632,0.8397337831462952,0.7742545378249995
Sub_23_PLB,0.7496757479720342,0.8494260191507065,0.6658158121141442,0.7068944729172971,0.6653344885925234,0.5165989883288344,0.750596527880919,0.6602992200066373
Sub_24_MOD,0.9008053360537295,1.0005108554108821,0.8634079331529495,0.8551348679742723,0.8770115383349542,0.9213584535070481,0.811050494806633,0.8050938483217965
Sub_24_PLB,0.6131513183469872,0.8886598431310423,0.7257670243669759,0.6794636059372354,0.6202674300960281,0.7032831140048388,0.4354683793786552,0.7145274402340503
